alpha	total_observations	power	effect_size	difference	metric	column
0.01	100	0.010988044214163438	0.03299885192552917		cohens_d	skin_condition
0.05	100	0.0530635011895873	0.03299885192552917		cohens_d	skin_condition
0.1	100	0.10455173223450503	0.03299885192552917		cohens_d	skin_condition
0.01	140	0.011401419264353622	0.03299885192552917		cohens_d	skin_condition
0.05	140	0.05431659210106491	0.03299885192552917		cohens_d	skin_condition
0.1	140	0.10639628791710777	0.03299885192552917		cohens_d	skin_condition
0.01	180	0.011817442631811243	0.03299885192552917		cohens_d	skin_condition
0.05	180	0.055571427482977574	0.03299885192552917		cohens_d	skin_condition
0.1	180	0.10823967380244356	0.03299885192552917		cohens_d	skin_condition
0.01	220	0.012236111978707762	0.03299885192552917		cohens_d	skin_condition
0.05	220	0.05682803402931477	0.03299885192552917		cohens_d	skin_condition
0.1	220	0.11008194080728448	0.03299885192552917		cohens_d	skin_condition
0.01	260	0.0126574228137218	0.03299885192552917		cohens_d	skin_condition
0.05	260	0.058086409123536076	0.03299885192552917		cohens_d	skin_condition
0.1	260	0.11192309812420367	0.03299885192552917		cohens_d	skin_condition
0.01	300	0.013081369845381795	0.03299885192552917		cohens_d	skin_condition
0.05	300	0.059346540460933586	0.03299885192552917		cohens_d	skin_condition
0.1	300	0.11376314122877806	0.03299885192552917		cohens_d	skin_condition
0.01	340	0.013507947428563712	0.03299885192552917		cohens_d	skin_condition
0.05	340	0.06060841181715892	0.03299885192552917		cohens_d	skin_condition
0.1	340	0.11560206004883253	0.03299885192552917		cohens_d	skin_condition
0.01	380	0.013937149731046507	0.03299885192552917		cohens_d	skin_condition
0.05	380	0.061872005125455064	0.03299885192552917		cohens_d	skin_condition
0.1	380	0.11743984198364385	0.03299885192552917		cohens_d	skin_condition
0.01	420	0.014368970810071146	0.03299885192552917		cohens_d	skin_condition
0.05	420	0.06313730143129548	0.03299885192552917		cohens_d	skin_condition
0.1	420	0.11927647310054927	0.03299885192552917		cohens_d	skin_condition
0.01	460	0.01480340464971178	0.03299885192552917		cohens_d	skin_condition
0.05	460	0.06440428129727054	0.03299885192552917		cohens_d	skin_condition
0.1	460	0.12111193884635776	0.03299885192552917		cohens_d	skin_condition
0.01	500	0.015240445180730785	0.03299885192552917		cohens_d	skin_condition
0.05	500	0.06567292503395757	0.03299885192552917		cohens_d	skin_condition
0.1	500	0.12294622430417368	0.03299885192552917		cohens_d	skin_condition
0.01	540	0.015680086291808656	0.03299885192552917		cohens_d	skin_condition
0.05	540	0.06694321282440215	0.03299885192552917		cohens_d	skin_condition
0.1	540	0.12477931438103072	0.03299885192552917		cohens_d	skin_condition
0.01	580	0.01612232183651359	0.03299885192552917		cohens_d	skin_condition
0.05	580	0.06821512479768449	0.03299885192552917		cohens_d	skin_condition
0.1	580	0.12661119391075285	0.03299885192552917		cohens_d	skin_condition
0.01	620	0.01656714563730474	0.03299885192552917		cohens_d	skin_condition
0.05	620	0.06948864107265489	0.03299885192552917		cohens_d	skin_condition
0.1	620	0.1284418477149974	0.03299885192552917		cohens_d	skin_condition
0.01	660	0.01701455149217008	0.03299885192552917		cohens_d	skin_condition
